InitDuration,
111.99,123.2357407
124.9,
118.34,
122.51,
134.44,
120.11,
122.19,
119.45,
131.78,
125.43,
125.52,
129.97,
119.26,
123.02,
120.95,
125.27,
121.49,
118.26,
122.61,
120.4,
114.89,
126.41,
133.74,
122.89,
124.57,
122.59,
124.69,
121.21,
117.56,
124.34,
123.08,
131.15,
127.22,
118.77,
132.26,
125.87,
125.73,
124.78,
124.65,
117.41,
126.33,
113.27,
122.63,
124.45,
128.59,
121.05,
121.67,
120.43,
119.28,
131.51,
121.81,
122.71,
116.03,
123.27,
